NAME OF COMPANY,SYMBOL,Security Id
Gujarat Pipavav Port Limited,GPPL,GPPL
GPT Infraprojects Limited,GPTINFRA,GPTINFRA
Granules India Limited,GRANULES,GRANULES
Graphite India Limited,GRAPHITE,GRAPHITE
Grasim Industries Limited,GRASIM,GRASIM
Gravita India Limited,GRAVITA,GRAVITA
Greaves Cotton Limited,GREAVESCOT,GREAVESCOT
Greenlam Industries Limited,GREENLAM,GRNLAMIND
Greenpanel Industries Limited,GREENPANEL,GREENPANEL
Greenply Industries Limited,GREENPLY,GREENPLY
Orient Green Power Company Limited,GREENPOWER,GREENPOWER
Grindwell Norton Limited,GRINDWELL,GRINDWELL
GRP Limited,GRPLTD,GRPLTD
Garden Reach Shipbuilders & Engineers Limited,GRSE,GRSE
Gujarat Sidhee Cement Limited,GSCLCEMENT,GSCLCEMENT
Gujarat State Fertilizers & Chemicals Limited,GSFC,GSFC
Gujarat State Petronet Limited,GSPL,GSPL
GSS Infotech Limited,GSS,GSS
GTL Limited,GTL,GTL
GTL Infrastructure Limited,GTLINFRA,GTLINFRA
GTN Textiles Limited,GTNTEX,GTNTEX
GTPL Hathway Limited,GTPL,GTPL
Gufic Biosciences Limited,GUFICBIO,GUFICBIO
Gujarat Alkalies and Chemicals Limited,GUJALKALI,GUJALKALI
Gujarat Apollo Industries Limited,GUJAPOLLO,GUJAPOLLO
Gujarat Gas Limited,GUJGASLTD,GUJGAS
Gujarat Raffia Industries Limited,GUJRAFFIA,GUJRAFIA
Gulf Oil Lubricants India Limited,GULFOILLUB,GULFOILLUB
GP Petroleums Limited,GULFPETRO,GULFPETRO
Gulshan Polyols Limited,GULPOLY,GULPOLY
Hindustan Aeronautics Limited,HAL,HAL
Happiest Minds Technologies Limited,HAPPSTMNDS,HAPPSTMNDS
Harrisons  Malayalam Limited,HARRMALAYA,HARRMALAYA
Hathway Cable & Datacom Limited,HATHWAY,HATHWAY
Hatsun Agro Product Limited,HATSUN,HATSUN
Havells India Limited,HAVELLS,HAVELLS
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA,HAVISHA
HBL Power Systems Limited,HBLPOWER,HBLPOWER
HB Stockholdings Limited,HBSL,HBSTOCK
Hindustan Construction Company Limited,HCC,HCC
Healthcare Global Enterprises Limited,HCG,HCG
HCL Infosystems Limited,HCL-INSYS,HCL-INSYS
HCL Technologies Limited,HCLTECH,HCLTECH
Housing Development Finance Corporation Limited,HDFC,HDFC
HDFC Asset Management Company Limited,HDFCAMC,HDFCAMC
HDFC Bank Limited,HDFCBANK,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE,HDFCLIFE
Housing Development and Infrastructure Limited,HDIL,HDIL
HEG Limited,HEG,HEG
HeidelbergCement India Limited,HEIDELBERG,HEIDELBERG
Hemisphere Properties India Limited,HEMIPROP,HEMIPROP
Heranba Industries Limited,HERANBA,HERANBA
Hercules Hoists Limited,HERCULES,HERCULES
Heritage Foods Limited,HERITGFOOD,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO,HESTERBIO
Hexa Tradex Limited,HEXATRADEX,HEXATRADEX
HFCL Limited,HFCL,HFCL
H.G. Infra Engineering Limited,HGINFRA,HGINFRA
Hinduja Global Solutions Limited,HGS,HGS
Hikal Limited,HIKAL,HIKAL
HIL Limited,HIL,HIL
Hilton Metal Forging Limited,HILTON,HILTON
Himatsingka Seide Limited,HIMATSEIDE,HIMATSEIDE
Hindalco Industries Limited,HINDALCO,HINDALCO
Hindustan Composites Limited,HINDCOMPOS,HINDCOMPOS
Hindustan Copper Limited,HINDCOPPER,HINDCOPPER
Hindustan Motors Limited,HINDMOTORS,HINDMOTORS
Hindusthan National Glass & Industries Limited,HINDNATGLS,HINDNATGLS
Hindustan Oil Exploration Company Limited,HINDOILEXP,HINDOILEXP
Hindustan Petroleum Corporation Limited,HINDPETRO,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR
Hindustan Zinc Limited,HINDZINC,HINDZINC
Hind Rectifiers Limited,HIRECT,HIRECT
Hisar Metal Industries Limited,HISARMETAL,HISARMET
Hitech Corporation Limited,HITECHCORP,HITECHCORP
The Hi-Tech Gears Limited,HITECHGEAR,HITECHGEAR
HLE Glascoat Limited,HLEGLAS,HLEGLAS
HLV LIMITED,HLVLTD,HLVLTD
HMT Limited,HMT,HMT
Hindustan Media Ventures Limited,HMVL,HMVL
Hindustan Foods Limited,HNDFDS,HNDFDS
Home First Finance Company India Limited,HOMEFIRST,HOMEFIRST
Honeywell Automation India Limited,HONAUT,HONAUT
Honda India Power Products Limited,HONDAPOWER,HONDAPOWER
Hotel Rugby Limited,HOTELRUGBY,HOTELRUGBY
HOV Services Limited,HOVS,HOVS
HPL Electric & Power Limited,HPL,HPL
Himadri Speciality Chemical Limited,HSCL,HSCL
HSIL Limited,HSIL,HSIL
HT Media Limited,HTMEDIA,HTMEDIA
Hubtown Limited,HUBTOWN,HUBTOWN
Housing & Urban Development Corporation Limited,HUDCO,HUDCO
Huhtamaki India Limited,HUHTAMAKI,HUHTAMAKI
Indiabulls Real Estate Limited,IBREALEST,IBREALEST
Indiabulls Housing Finance Limited,IBULHSGFIN,IBULHSGFIN
ICICI Bank Limited,ICICIBANK,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,ICICIPRULI
Indo Count Industries Limited,ICIL,ICIL
ICRA Limited,ICRA,ICRA
IDBI Bank Limited,IDBI,IDBI
Vodafone Idea Limited,IDEA,IDEA
IDFC Limited,IDFC,IDFC
IDFC First Bank Limited,IDFCFIRSTB,IDFCFIRSTB
Indian Energy Exchange Limited,IEX,IEX
IFB Agro Industries Limited,IFBAGRO,IFBAGRO
IFB Industries Limited,IFBIND,IFBIND
IFCI Limited,IFCI,IFCI
IFGL Refractories Limited,IFGLEXPOR,IFGLEXPOR
Igarashi Motors India Limited,IGARASHI,IGARASHI
Indraprastha Gas Limited,IGL,IGL
IG Petrochemicals Limited,IGPL,IGPL
IIFL Finance Limited,IIFL,IIFL
IIFL Securities Limited,IIFLSEC,IIFLSEC
Iifl Wealth Management Limited,IIFLWAM,IIFLWAM
Industrial Investment Trust Limited,IITL,IITL
IL&FS Engineering and Construction Company Limited,IL&FSENGG,IL&FSENGG
IL&FS Transportation Networks Limited,IL&FSTRANS,IL&FSTRANS
Imagicaaworld Entertainment Limited,IMAGICAA,IMAGICAA
Indian Metals & Ferro Alloys Limited,IMFA,IMFA
India Motor Parts and Accessories Limited,IMPAL,IMPAL
Impex Ferro Tech Limited,IMPEXFERRO,IMPEXFERRO
INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE,INCREDIBLE
Indbank Merchant Banking Services Limited,INDBANK,INDBANK
The Indian Hotels Company Limited,INDHOTEL,INDHOTEL
The India Cements Limited,INDIACEM,INDIACEM
India Glycols Limited,INDIAGLYCO,INDIAGLYCO
Indiamart Intermesh Limited,INDIAMART,INDIAMART
Indian Bank,INDIANB,INDIANB
Indian Card Clothing Company Limited,INDIANCARD,INDIANCARD
Indian Hume Pipe Company Limited,INDIANHUME,INDIANHUME
InterGlobe Aviation Limited,INDIGO,INDIGO
Indigo Paints Limited,INDIGOPNTS,INDIGOPNTS
IMP Powers Limited,INDLMETER,INDLMETER
India Nippon Electricals Limited,INDNIPPON,INDNIPPON
Indoco Remedies Limited,INDOCO,INDOCO
Indo Rama Synthetics (India) Limited,INDORAMA,INDORAMA
Indosolar Limited,INDOSOLAR,INDOSOLAR
IndoStar Capital Finance Limited,INDOSTAR,INDOSTAR
Indo Tech Transformers Limited,INDOTECH,INDOTECH
Indo Thai Securities Limited,INDOTHAI,INDOTHAI
Indowind Energy Limited,INDOWIND,INDOWIND
Indraprastha Medical Corporation Limited,INDRAMEDCO,INDRAMEDCO
Ind-Swift Laboratories Limited,INDSWFTLAB,INDSWFTLAB
Indian Terrain Fashions Limited,INDTERRAIN,INDTERRAIN
IndusInd Bank Limited,INDUSINDBK,INDUSINDBK
Indus Towers Limited,INDUSTOWER,INDUSTOWER
INEOS Styrolution India Limited,INEOSSTYRO,INEOSSTYRO
Infibeam Avenues Limited,INFIBEAM,INFIBEAM
Infomedia Press Limited,INFOMEDIA,INFOMEDIA
Infosys Limited,INFY,INFY
Ingersoll Rand (India) Limited,INGERRAND,INGERRAND
INOX Leisure Limited,INOXLEISUR,INOXLEISUR
Inox Wind Limited,INOXWIND,INOXWIND
Insecticides (India) Limited,INSECTICID,INSECTICID*
Inspirisys Solutions Limited,INSPIRISYS,INSPIRISYS
Intellect Design Arena Limited,INTELLECT,INTELLECT
Intense Technologies Limited,INTENTECH,INTENTECH
Inventure Growth & Securities Limited,INVENTURE,INVENTURE
Indian Overseas Bank,IOB,IOB
Indian Oil Corporation Limited,IOC,IOC
IOL Chemicals and Pharmaceuticals Limited,IOLCP,IOLCP
IPCA Laboratories Limited,IPCALAB,IPCALAB
IRB Infrastructure Developers Limited,IRB,IRB
Ircon International Limited,IRCON,IRCON
Indian Railway Catering And Tourism Corporation Limited,IRCTC,IRCTC
Indian Railway Finance Corporation Limited,IRFC,IRFC
ICICI Securities Limited,ISEC,ISEC
Intrasoft Technologies Limited,ISFT,ISFT
Isgec Heavy Engineering Limited,ISGEC,ISGEC
ISMT Limited,ISMTLTD,ISMTLTD
ITC Limited,ITC,ITC
India Tourism Development Corporation Limited,ITDC,ITDC
ITD Cementation India Limited,ITDCEM,ITDCEM
ITI Limited,ITI,ITI
IL&FS Investment Managers Limited,IVC,IVC
IVP Limited,IVP,IVP
IZMO Limited,IZMO,IZMO
The Jammu & Kashmir Bank Limited,J&KBANK,J&KBANK
Jagran Prakashan Limited,JAGRAN,JAGRAN*
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM,JAGSNPHARM
Jai Balaji Industries Limited,JAIBALAJI,JAIBALAJI
Jai Corp Limited,JAICORPLTD,JAICORPLTD
Jain Studios Limited,JAINSTUDIO,JAINSTUDIO
Jamna Auto Industries Limited,JAMNAAUTO,JAMNAAUTO
Jayant Agro Organics Limited,JAYAGROGN,JAYAGROGN
Jay Bharat Maruti Limited,JAYBARMARU,JAYBARMARU
Jayaswal Neco Industries Limited,JAYNECOIND,JAYNECOIND
Jayshree Tea & Industries Limited,JAYSREETEA,JAYSHREETEA
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,JBCHEPHARM
JBF Industries Limited,JBFIND,JBFIND
JBM Auto Limited,JBMA,JBMA
Johnson Controls - Hitachi Air Conditioning India Limited,JCHAC,JCHAC
Jet Airways (India) Limited,JETAIRWAYS,JETAIRWAYS
JHS Svendgaard Laboratories Limited,JHS,JHS
JIK Industries Limited,JIKIND,JIKIND
Jindal Photo Limited,JINDALPHOT,JINDALPHOT
Jindal Poly Films Limited,JINDALPOLY,JINDALPOLY
Jindal Saw Limited,JINDALSAW,JINDALSAW
Jindal Steel & Power Limited,JINDALSTEL,JINDALSTEL
Jindal Drilling And Industries Limited,JINDRILL,JINDRILL
Jindal Worldwide Limited,JINDWORLD,JINDWORLD
Jain Irrigation Systems Limited,JISLDVREQS,JISLDVREQS
Jain Irrigation Systems Limited,JISLJALEQS,JISLJALEQS
JITF Infralogistics Limited,JITFINFRA,JITFINFRA
Jiya Eco-Products Limited,JIYAECO,JIYAECO
JK Cement Limited,JKCEMENT,JKCEMENT
J.Kumar Infraprojects Limited,JKIL,JKIL
JK Lakshmi Cement Limited,JKLAKSHMI,JKLAKSHMI
JK Paper Limited,JKPAPER,JKPAPER
JK Tyre & Industries Limited,JKTYRE,JKTYRE
JMC Projects (India)  Limited,JMCPROJECT,JMCPROJECT
JM Financial Limited,JMFINANCIL,JMFINANCIL
JMT Auto Limited,JMTAUTOLTD,JMTAUTOLTD
Jaiprakash Associates Limited,JPASSOCIAT,JPASSOCIAT
Jaypee Infratech Limited,JPINFRATEC,JPINFRATEC
Jaiprakash Power Ventures Limited,JPPOWER,JPPOWER
Jindal Stainless Limited,JSL,JSL
Jindal Stainless (Hisar) Limited,JSLHISAR,JSLHISAR
JSW Energy Limited,JSWENERGY,JSWENERGY
JSW Holdings Limited,JSWHL,JSWHL
JSW Ispat Special Products Limited,JSWISPL,JSWISPL
JSW Steel Limited,JSWSTEEL,JSWSTEEL
Jtekt India Limited,JTEKTINDIA,JTEKTINDIA
Jubilant Foodworks Limited,JUBLFOOD,JUBLFOOD
Jubilant Industries Limited,JUBLINDS,JUBLINDS
Jubilant Ingrevia Limited,JUBLINGREA,JUBLINGREA
Jubilant Pharmova Limited,JUBLPHARMA,JUBLPHARMA
Jump Networks Limited,JUMPNET,JUMPNET
Just Dial Limited,JUSTDIAL,JUSTDIAL
Jyothy Labs Limited,JYOTHYLAB,JYOTHYLAB
Jyoti Structures Limited,JYOTISTRUC,JYOTISTRUC
Kabra Extrusion Technik Limited,KABRAEXTRU,KABRAEXTRU
Kajaria Ceramics Limited,KAJARIACER,KAJARIACER
Kakatiya Cement Sugar & Industries Limited,KAKATCEM,KAKATCEM
Kalpataru Power Transmission Limited,KALPATPOWR,KALPATPOWR
Kalyani Forge Limited,KALYANIFRG,KALYANIFRG
Kalyan Jewellers India Limited,KALYANKJIL,KALYANKJIL
Kamat Hotels (I) Limited,KAMATHOTEL,KAMATHOTEL
Kamdhenu Limited,KAMDHENU,KAMDHENU
Kanani Industries Limited,KANANIIND,KANANIIND
Kanoria Chemicals & Industries Limited,KANORICHEM,KANORICHEM
Kanpur Plastipack Limited,KANPRPLA,KANPRPLA
Kansai Nerolac Paints Limited,KANSAINER,KANSAINER
Karda Constructions Limited,KARDA,KARDA
Karma Energy Limited,KARMAENG,KARMAENG
Karur Vysya Bank Limited,KARURVYSYA,KARURVYSYA
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA,KAUSHALYA
Kaya Limited,KAYA,KAYA
KCP Limited,KCP,KCP
KCP Sugar and Industries Corporation Limited,KCPSUGIND,KCPSUGIND
KDDL Limited,KDDL,KDDL
KEC International Limited,KEC,KEC
Kirloskar Electric Company Limited,KECL,KECL
KEI Industries Limited,KEI,KEI
Kellton Tech Solutions Limited,KELLTONTEC,KELLTONTEC
Kennametal India Limited,KENNAMET,KENNAMET
Kernex Microsystems (India) Limited,KERNEX,KERNEX
Kesoram Industries Limited,KESORAMIND,KESORAMIND
Keynote Financial Services Limited,KEYFINSERV,KEYFINSER
Khadim India Limited,KHADIM,KHADIM
Khaitan Chemicals & Fertilizers Limited,KHAICHEM,KHAICHEM
Khandwala Securities Limited,KHANDSE,KHANDSE
Kalyani Investment Company Limited,KICL,KICL
Kilitch Drugs (India) Limited,KILITCH,KILITCH
Kingfa Science & Technology (India) Limited,KINGFA,KINGFA
KIOCL Limited,KIOCL,KIOCL
Kiri Industries Limited,KIRIINDUS,KIRIINDUS
Kirloskar Ferrous Industries Ltd,KIRLFER,KIRLFER
Kirloskar Brothers Limited,KIRLOSBROS,KIRLOSBROS
Kirloskar Oil Engines Limited,KIRLOSENG,KIRLOSENG
Kirloskar Industries Limited,KIRLOSIND,KIRLOSIND
Kitex Garments Limited,KITEX,KITEX
Kewal Kiran Clothing Limited,KKCL,KKCL
K.M.Sugar Mills Limited,KMSUGAR,KMSUGAR
KNR Constructions Limited,KNRCON,KNRCON
Kokuyo Camlin Limited,KOKUYOCMLN,KOKUYOCMLN
Kolte - Patil Developers Limited,KOLTEPATIL,KOLTEPATIL
Kopran Limited,KOPRAN,KOPRAN
Kotak Mahindra Bank Limited,KOTAKBANK,KOTAKBANK
Kothari Products Limited,KOTHARIPRO,KOTHARIPRO
KPIT Technologies Limited,KPITTECH,KPITTECH
K.P.R. Mill Limited,KPRMILL,KPRMILL
KRBL Limited,KRBL,KRBL
Krebs Biochemicals and Industries Limited,KREBSBIO,KREBSBIO
Kridhan Infra Limited,KRIDHANINF,KRIINFRA
Ksb Limited,KSB,KSB
Kaveri Seed Company Limited,KSCL,KSCL
Kalyani Steels Limited,KSL,KSL
The Karnataka Bank Limited,KTKBANK,KTKBANK
Kuantum Papers Limited,KUANTUM,KUANTUM
L&T Finance Holdings Limited,L&TFH,L&TFH
Lakshmi Precision Screws Limited,LAKPRE,LAKPRE
Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB
Lambodhara Textiles Limited,LAMBODHARA,LAMBODHARA
La Opala RG Limited,LAOPALA,LAOPALA
Lasa Supergenerics Limited,LASA,LASA
Laurus Labs Limited,LAURUSLABS,LAURUSLABS
Lakshmi Machine Works Limited,LAXMIMACH,LAXMIMACH
LCC Infotech Limited,LCCINFOTEC,LCCINFOTEC
Lemon Tree Hotels Limited,LEMONTREE,LEMONTREE
LG Balakrishnan & Bros Limited,LGBBROSLTD,LGBBROSLTD
LGB Forge Limited,LGBFORGE,LGBFORGE
Liberty Shoes Limited,LIBERTSHOE,LIBERTSHOE
LIC Housing Finance Limited,LICHSGFIN,LICHSGFIN
Likhitha Infrastructure Limited,LIKHITHA,LIKHITHA
Lincoln Pharmaceuticals Limited,LINCOLN,LINCOPH
Linc Pen & Plastics Limited,LINCPEN,LINCPENQ
Linde India Limited,LINDEINDIA,LINDEINDIA
Macrotech Developers Limited,LODHA,LODHA
Lokesh Machines Limited,LOKESHMACH,LOKESHMACH
Lotus Eye Hospital and Institute Limited,LOTUSEYE,LEHIL
Lovable Lingerie Limited,LOVABLE,LOVABLE
Landmark Property Development Company Limited,LPDC,LPDC
Lloyds Steels Industries Limited,LSIL,LLOYDSTEEL
Larsen & Toubro Limited,LT,LT
Larsen & Toubro Infotech Limited,LTI,LTI
L&T Technology Services Limited,LTTS,LTTS
Lumax Industries Limited,LUMAXIND,LUMAXIND
Lumax Auto Technologies Limited,LUMAXTECH,LUMAXTECH
Lupin Limited,LUPIN,LUPIN
Lux Industries Limited,LUXIND,LUXIND
Laxmi Organic Industries Limited,LXCHEM,LXCHEM
Lyka Labs Limited,LYKALABS,LYKALABS
Lypsa Gems & Jewellery Limited,LYPSAGEMS,LYPSAGEMS
Mahindra & Mahindra Limited,M&M,M&M
Mahindra & Mahindra Financial Services Limited,M&MFIN,M&MFIN
Maan Aluminium Limited,MAANALU,MAANALU
Madhav Marbles and Granites Limited,MADHAV,MADHAV
Madhucon Projects Limited,MADHUCON,MADHUCON
Madras Fertilizers Limited,MADRASFERT,MADRASFERT
Magadh Sugar & Energy Limited,MAGADSUGAR,MAGADHSUGAR
Magma Fincorp Limited,MAGMA,MAGMA
Magnum Ventures Limited,MAGNUM,MAGNUM
Bank of Maharashtra,MAHABANK,MAHABANK
Maha Rashtra Apex Corporation Limited,MAHAPEXLTD,MAHAPEXLTD
Mahamaya Steel Industries Limited,MAHASTEEL,MAHASTEEL
Mahindra EPC Irrigation Limited,MAHEPC,MAHEPC
Mahindra CIE Automotive Limited,MAHINDCIE,MAHINDCIE
Mahindra Lifespace Developers Limited,MAHLIFE,MAHLIFE
Mahindra Logistics Limited,MAHLOG,MAHLOG
Maharashtra Scooters Limited,MAHSCOOTER,MAHSCOOTER
Maharashtra Seamless Limited,MAHSEAMLES,MAHSEAMLES
Maithan Alloys Limited,MAITHANALL,MAITHANALL
Majesco Limited,MAJESCO,MJCO
Malu Paper Mills Limited,MALUPAPER,MALUPAPER
Manaksia Aluminium Company Limited,MANAKALUCO,MNKALCOLTD
Manaksia Coated Metals & Industries Limited,MANAKCOAT,MNKCMILTD
Manaksia Limited,MANAKSIA,MANAKSIA
Manaksia Steels Limited,MANAKSTEEL,MANAKSTELTD
Manali Petrochemicals Limited,MANALIPETC,MANALIPETC
Manappuram Finance Limited,MANAPPURAM,MANAPPURAM
Mangalam Drugs And Organics Limited,MANGALAM,MANGALAM
Mangalore Chemicals & Fertilizers Limited,MANGCHEFER,MANGCHEFER
Mangalam Cement Limited,MANGLMCEM,MANGLMCEM
Mangalam Timber Products Limited,MANGTIMBER,MANGTIMBER
Man Industries (India) Limited,MANINDS,MANINDS
Man Infraconstruction Limited,MANINFRA,MANINFRA
Manugraph India Limited,MANUGRAPH,MANUGRAPH
Maral Overseas Limited,MARALOVER,MARALOVER
Marathon Nextgen Realty Limited,MARATHON,MARATHON
Marico Limited,MARICO,MARICO
Marksans Pharma Limited,MARKSANS,MARKSANS
Maruti Suzuki India Limited,MARUTI,MARUTI
MAS Financial Services Limited,MASFIN,MASFIN
Mastek Limited,MASTEK,MASTEK
Matrimony.Com Limited,MATRIMONY,MATRIMONY
Mawana Sugars Limited,MAWANASUG,MAWANASUG
Max Healthcare Institute Limited,MAXHEALTH,MAXHEALTH
Max India Limited,MAXIND,MAXINDIA
Max Ventures and Industries Limited,MAXVIL,MAXVIL
Mayur Uniquoters Ltd,MAYURUNIQ,MAYURUNIQ
Mazda Limited,MAZDA,MAZDALTD
Mazagon Dock Shipbuilders Limited,MAZDOCK,MAZDOCK
Mcnally Bharat Engineering Company Limited,MBECL,MBECL
MBL Infrastructures Limited,MBLINFRA,MBLINFRA
McDowell Holdings Limited,MCDHOLDING,MCDHOLDING
United Spirits Limited,MCDOWELL-N,UNITDSPR
Mcleod Russel India Limited,MCLEODRUSS,MCLEODRUSS
Multi Commodity Exchange of India Limited,MCX,MCX
Megasoft Limited,MEGASOFT,MEGASOFT
Melstar Information Technologies Limited,MELSTAR,MELSTAR
Menon Bearings Limited,MENONBE,MENONBE
MEP Infrastructure Developers Limited,MEP,MEP
Mercator Limited,MERCATOR,MERCATOR
Metalyst Forgings Limited,METALFORGE,METALFORGE
Metropolis Healthcare Limited,METROPOLIS,METROPOLIS
Max Financial Services Limited,MFSL,MFSL
Mahanagar Gas Limited,MGL,MGL
Mahindra Holidays & Resorts India Limited,MHRIL,MHRIL
MIC Electronics Limited,MIC,MIC
Mishra Dhatu Nigam Limited,MIDHANI,MIDHANI
Minda Corporation Limited,MINDACORP,MINDACORP
Minda Industries Limited,MINDAIND,MINDAIND
Mindteck (India) Limited,MINDTECK,MINDTECK
MindTree Limited,MINDTREE,MINDTREE
MIRC Electronics Limited,MIRCELECTR,MIRCELECTR
Mirza International Limited,MIRZAINT,MIRZAINT
MM Forgings Limited,MMFL,MMFL
MMTC Limited,MMTC,MMTC
Modi Rubber Limited,MODIRUBBER,MODIRUBBER
Modison Metals Limited,MODISNME,MODISNME
Mohit Industries Limited,MOHITIND,MOHITIND
Mohota Industries Limited,MOHOTAIND,MOHOTAIND
MOIL Limited,MOIL,MOIL
Mold-Tek Technologies Limited,MOLDTECH,MOLDTEK
Mold-Tek Packaging Limited,MOLDTKPAC,MOLDTKPAC
Monte Carlo Fashions Limited,MONTECARLO,MONTECARLO
Morarjee Textiles Limited,MORARJEE,MORARJEE
Morepen Laboratories Limited,MOREPENLAB,MOREPENLAB
Motherson Sumi Systems Limited,MOTHERSUMI,MOTHERSUMI
Motilal Oswal Financial Services Limited,MOTILALOFS,MOTILALOFS
The Motor & General Finance Limited,MOTOGENFIN,MOTOGENFIN
MphasiS Limited,MPHASIS,MPHASIS
MPS Limited,MPSLTD,MPSLTD
MRF Limited,MRF,MRF
MRO-TEK Realty Limited,MRO-TEK,MRO-TEK
Mangalore Refinery and Petrochemicals Limited,MRPL,MRPL
MSP Steel & Power Limited,MSPL,MSPL
Mstc Limited,MSTCLTD,MSTC
Mtar Technologies Limited,MTARTECH,MTARTECH
MT Educare Limited,MTEDUCARE,MTEDUCARE
Mahanagar Telephone Nigam Limited,MTNL,MTNL
Mukand Limited,MUKANDLTD,MUKANDLTD
Mukta Arts Limited,MUKTAARTS,MUKTAARTS
Munjal Auto Industries Limited,MUNJALAU,MUNJALAU
Munjal Showa Limited,MUNJALSHOW,MUNJALSHOW
Murudeshwar Ceramics Limited,MURUDCERA,MURUDCERA
Muthoot Capital Services Limited,MUTHOOTCAP,MUTHTFN
Muthoot Finance Limited,MUTHOOTFIN,MUTHOOTFIN
NACL Industries Limited,NACLIND,NACLIND
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT,NAGARFERT
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP,NAGREEKCAP
Nagreeka Exports Limited,NAGREEKEXP,NAGREEKEXP
Nahar Capital and Financial Services Limited,NAHARCAP,NAHARCAP
Nahar Industrial Enterprises Limited,NAHARINDUS,NAHARINDUS
Nahar Poly Films Limited,NAHARPOLY,NAHARPOLY
Nahar Spinning Mills Limited,NAHARSPING,NAHARSPING
Nippon Life India Asset Management Limited,NAM-INDIA,NAM-INDIA
Natco Pharma Limited,NATCOPHARM,NATCOPHARM
Nath Bio-Genes (India) Limited,NATHBIOGEN,NATHBIOGEN
National Aluminium Company Limited,NATIONALUM,NATIONALUM
Info Edge (India) Limited,NAUKRI,NAUKRI
Navin Fluorine International Limited,NAVINFLUOR,NAVINFLUOR
Navkar Corporation Limited,NAVKARCORP,NAVKARCORP
Navneet Education Limited,NAVNETEDUL,NAVNETEDUL
Nazara Technologies Limited,NAZARA,NAZARA
NBCC (India) Limited,NBCC,NBCC
Nava Bharat Ventures Limited,NBVENTURES,NBVENTURES*
NCC Limited,NCC,NCC
NCL Industries Limited,NCLIND,NCLIND
Nandan Denim Limited,NDL,NDL
Ndr Auto Components Limited,NDRAUTO,NDRAUTO
New Delhi Television Limited,NDTV,NDTV
North Eastern Carrying Corporation Limited,NECCLTD,NECCLTD
Nectar Lifesciences Limited,NECLIFE,NECLIFE
Nelcast Limited,NELCAST,NELCAST
NELCO Limited,NELCO,NELCO
Neogen Chemicals Limited,NEOGEN,NEOGEN
Nesco Limited,NESCO,NESCO
Nestle India Limited,NESTLEIND,NESTLEIND
Network18 Media & Investments Limited,NETWORK18,NETWORK18
Neuland Laboratories Limited,NEULANDLAB,NEULANDLAB
Newgen Software Technologies Limited,NEWGEN,NEWGEN
Next Mediaworks Limited,NEXTMEDIA,NEXTMEDIA
National Fertilizers Limited,NFL,NFL
Narayana Hrudayalaya Ltd.,NH,NH
NHPC Limited,NHPC,NHPC
The New India Assurance Company Limited,NIACL,NIACL
NRB Industrial Bearings Limited,NIBL,NIBL
NIIT Limited,NIITLTD,NIITLTD
Nila Infrastructures Limited,NILAINFRA,NILA
Nila Spaces Limited,NILASPACES,NILASPACES
Nilkamal Limited,NILKAMAL,NILKAMAL
Indo-National Limited,NIPPOBATRY,NIPPOBATRY
Niraj Cement Structurals Limited,NIRAJ,NIRAJ
Nitco Limited,NITCO,NITCO
Nitin Fire Protection Industries Limited,NITINFIRE,NITINFIRE
Nitin Spinners Limited,NITINSPIN,NITINSPIN
NK Industries Limited,NKIND,NKIND
NLC India Limited,NLCINDIA,NLCINDIA
NMDC Limited,NMDC,NMDC
NOCIL Limited,NOCIL,NOCIL
Noida Toll Bridge Company Limited,NOIDATOLL,NOIDATOLL
Novartis India Limited,NOVARTIND,NOVARTIND
N R Agarwal Industries Limited,NRAIL,NRAGRINDQ
NRB Bearing Limited,NRBBEARING,NRBBEARING
Nalwa Sons Investments Limited,NSIL,NSIL
Neueon Towers Limited,NTL,NTL
NTPC Limited,NTPC,NTPC
Nucleus Software Exports Limited,NUCLEUS,NUCLEUS
Nureca Limited,NURECA,NURECA
NXTDIGITAL LIMITED,NXTDIGITAL,NXTDIGITAL
Oriental Aromatics Limited,OAL,OAL
Oberoi Realty Limited,OBEROIRLTY,OBEROIRLTY
Oriental Carbon & Chemicals Limited,OCCL,ORIENTCQ
Oracle Financial Services Software Limited,OFSS,OFSS
Oil India Limited,OIL,OIL
Olectra Greentech Limited,OLECTRA,OLECTRA
Omax Autos Limited,OMAXAUTO,OMAXAUTO
Omaxe Limited,OMAXE,OMAXE
OM INFRA LIMITED,OMINFRAL,OMINFRAL
Onelife Capital Advisors Limited,ONELIFECAP,ONELIFECAP
Oil & Natural Gas Corporation Limited,ONGC,ONGC
