bse_token,bse_tradingsymbol,nse_token,nse_tradingsymbol
139078660,CRAFTSMAN,,
136292356,CREATIVEYE,,
138693124,CREDITACC,,
130921732,CREST,,
128023556,CRISIL,,
138208260,CROMPTON,,
138973956,CSBBANK,,
136397060,CTE,,
136245764,CUB,,
134662916,CUBEXTUB,,
128122884,CUMMINSIND,,
135895812,CUPID,,
136355844,CYBERMEDIA,,
136236292,CYBERTECH,,
136236804,CYIENT,,
136392452,DAAWAT,,
128024580,DABUR,,
134829316,DALALSTCOM,,
138807300,DALBHARAT,,
128024836,DALMIASUG,,
133432324,DAMOINDUS,,
136327172,DATAMATICS,,
136486660,DBCORP,,
138252036,DBL,,
136488964,DBREALTY,,
135780612,DBSTOCKBRO,,
138419460,DCAL,,
136389636,DCBBANK,,
128721924,DCM,,
130972420,DCMFINSERV,,
138938628,DCMNVL,,
133981956,DCMSHRIRAM,,
128029956,DCW,,
128547076,DECCANCE,,
128165124,DEEPAKFERT,,
129638660,DEEPAKNI,,
136386564,DEEPENR,,
139081732,DEEPIND,,
136409092,DELTACORP,,
129097220,DELTAMAGNT,,
136483076,DEN,,
151047940,DENORA,,
133014532,DFM,,
138927364,DGCONTENT,,
128030468,DHAMPURSUG,,
136238084,DHANBANK,,
136437764,DHANI,,
129975556,DHANUKA,,
129905156,DHARSUGAR,,
130834436,DHFL,,
136534020,DHUNINV,,
137958916,DHUNTEAIND,,
138425348,DIAMONDYD,,
128022788,DICIND,,
132406788,DIGISPICE,,
136406788,DISHTV,,
136316932,DIVISLAB,,
138418948,DIXON,,
136414212,DLF,,
136485380,DLINKINDIA,,
138336260,DMART,,
138441988,DNAMEDIA,,
129414660,DOLAT,,
138599172,DOLLAR,,
131204868,DONEAR,,
139076612,DRCSYSTEMS,,
134046212,DREDGECORP,,
128031748,DRREDDY,,
136285444,DSSL,,
136876548,DUCON,,
134076420,DVL,,
136348164,DWARKESH,,
129341956,DYNAMATECH,,
136372996,DYNPRO,,
139077636,EASEMYTRIP,,
151045636,EASTSILK,,
136384260,EASUNREYRL,,
136563716,EBIXFOREX,,
136429316,ECLERX,,
136428036,EDELWEISS,,
136370180,EDUCOMP,,
129331204,EICHERMOT,,
128032004,EIDPARRY,,
133920516,EIHAHOTELS,,
128215044,EIHOTEL,,
134069252,EIMCOELECO,,
136367108,EKC,,
129459204,ELECON,,
128032772,ELECTCAST,,
134811652,ELECTHERM,,
133650948,ELGIEQUIP,,
135977476,EMAMILTD,,
136501252,EMAMIPAP,,
136503812,EMAMIREAL,,
129026052,EMCO,,
136380676,EMKAY,,
136489220,EMMBI,,
138279172,ENDURANCE,,
136248068,ENERGYDEV,,
136237572,ENGINERSIN,,
136371204,ENIL,,
128034564,EPL,,
138200068,EQUITAS,,
139070212,EQUITASBNK,,
138392580,ERIS,,
136514820,EROSMEDIA,,
128034052,ESABINDIA,,
128126724,ESCORTS,,
136628228,ESSARSHPNG,,
128034820,ESTER,,
133379588,EUROTEXIND,,
136066052,EVEREADY,,
130279940,EVERESTIND,,
136471044,EXCEL,,
128166404,EXCELINDUS,,
128022020,EXIDEIND,,
136478980,EXPLEOSOL,,
151046148,FACT,,
139072516,FAIRCHEMOR,,
136533252,FCL,,
136550404,FCONSUMER,,
136362500,FCSSOFT,,
136089348,FDC,,
128120068,FEDERALBNK,,
134034948,FEL,,
145920516,FELDVR,,
136388612,FIEMIND,,
134714116,FILATEX,,
128036868,FINCABLES,,
138638596,FINEORG,,
128240644,FINOLEXIND,,
136611332,FLEXITUFF,,
137345796,FLFL,,
138959876,FLUOROCHEM,,
129470468,FMGOETZE,,
136523780,FMNL,,
128008452,FORCEMOT,,
136407812,FORTIS,,
128038404,FOSECOIND,,
138256388,FRETAIL,,
138444292,FSC,,
136399108,FSL,,
129462788,GABRIEL,,
134201860,GAEL,,
136231684,GAIL,,
136518404,GAL,,
138479364,GALAXYSURF,,
136377860,GALLANTT,,
136515844,GALLISPAT,,
136437508,GAMMNINFRA,,
131355652,GANDHITUBE,,
131626756,GANECOS,,
134749956,GANESHHOUC,,
138405636,GANGESSEC,,
130446596,GARFIBRES,,
136280324,GATI,,
138635780,GAYAHWS,,
136388356,GAYAPROJ,,
136351236,GDL,,
136387588,GEECEE,,
138088196,GENCON,,
129563908,GENESYS,,
137974020,GENUSPAPER,,
135767812,GENUSPOWER,,
136264964,GEOJITFSL,,
136271108,GEPIL,,
128158724,GESHIP,,
133702404,GET&D,,
128044292,GFLLIMITED,,
128043780,GHCL,,
130989060,GICHSGFIN,,
138433284,GICRE,,
136375300,GILLANDERS,,
130000644,GILLETTE,,
151046404,GINNIFILA,,
132428804,GIPCL,,
136460292,GISOLUTION,,
139070724,GLAND,,
128168964,GLAXO,,
136267780,GLENMARK,,
128044548,GLFL,,
136389892,GLOBALVECT,,
136474628,GLOBUSSPR,,
129916932,GMBREW,,
136238340,GMDCLTD,,
129345284,GMM,,
136385028,GMRINFRA,,
138271748,GNA,,
128171524,GNFC,,
130449156,GOACARBON,,
129658884,GOCLCORP,,
128041732,GODFRYPHLP,,
138430212,GODREJAGRO,,
136300548,GODREJCP,,
128041988,GODREJIND,,
136486404,GODREJPROP,,
136496388,GOENKA,,
136353284,GOKEX,,
136442884,GOKUL,,
138169604,GOKULAGRO,,
128038660,GOLDENTOBC,,
134842628,GOLDIAM,,
136048388,GOLDTECH,,
135847684,GOODLUCK,,
128043012,GOODYEAR,,
138260740,GOVNOW,,
136379908,GPIL,,
136511492,GPPL,,
136642820,GPTINFRA,,
131415812,GRANDFONRY,,
136315396,GRANULES,,
130428932,GRAPHITE,,
128076804,GRASIM,,
136520196,GRAVITA,,
128372484,GREAVESCOT,,
138971396,GREENPANEL,,
134860036,GREENPLY,,
136515332,GREENPOWER,,
129555460,GRINDWELL,,
137978628,GRNLAMIND,,
130342916,GRPLTD,,
138754820,GRSE,,
132615428,GSCLCEMENT,,
128176644,GSFC,,
136371716,GSPL,,
136435460,GSS,,
128040964,GTL,,
136390404,GTLINFRA,,
136382468,GTNTEX,,
138394116,GTPL,,
130324228,GUFICBIO,,
135680260,GUJALKALI,,
133687556,GUJAPOLLO,,
138070020,GUJGAS,,
134102020,GUJRAFIA,,
137873156,GULFOILLUB,,
136331012,GULFPETRO,,
136308996,GULPOLY,,
138535428,HAL,,
139066116,HAPPSTMNDS,,
128119556,HARRMALAYA,,
136489476,HATHWAY,,
136071940,HATSUN,,
132442628,HAVELLS,,
136018436,HAVISHA,,
132421380,HBLPOWER,,
136247300,HBSTOCK,,
128047364,HCC,,
138185476,HCG,,
128045828,HCL-INSYS,,
136263940,HCLTECH,,
128002564,HDFC,,
138682628,HDFCAMC,,
128046084,HDFCBANK,,
138438916,HDFCLIFE,,
136415492,HDIL,,
130465540,HEG,,
128074756,HEIDELBERG,,
139069956,HEMIPROP,,
139076100,HERANBA,,
129464324,HERCULES,,
133005316,HERITGFOOD,,
128046596,HEROMOTOCO,,
134315268,HESTERBIO,,
136787972,HEXATRADEX,,
128046852,HFCL,,
138500868,HGINFRA,,
136411908,HGS,,
134332164,HIKAL,,
130476804,HIL,,
136408836,HILTON,,
131595012,HIMATSEIDE,,
128112644,HINDALCO,,
130466564,HINDCOMPOS,,
131481348,HINDCOPPER,,
128128004,HINDMOTORS,,
131877124,HINDNATGLS,,
128047620,HINDOILEXP,,
128026628,HINDPETRO,,
128178180,HINDUNILVR,,
128048132,HINDZINC,,
129033220,HIRECT,,
151044612,HISARMET,,
134711556,HITECHCORP,,
133650692,HITECHGEAR,,
133687044,HLEGLAS,,
128049412,HLVLTD,,
128048900,HMT,,
136503556,HMVL,,
132896260,HNDFDS,,
139074308,HOMEFIRST,,
132396548,HONAUT,,
133648388,HONDAPOWER,,
134830852,HOTELRUGBY,,
136386820,HOVS,,
138274820,HPL,,
128047108,HSCL,,
128047876,HSIL,,
136361476,HTMEDIA,,
136396548,HUBTOWN,,
138375684,HUDCO,,
130513924,HUHTAMAKI,,
136404996,IBREALEST,,
137161988,IBULHSGFIN,,
136236548,ICICIBANK,,
138423300,ICICIGI,,
138274052,ICICIPRULI,,
133380100,ICIL,,
136405764,ICRA,,
128029700,IDBI,,
136402436,IDEA,,
136360708,IDFC,,
138095876,IDFCFIRSTB,,
138432004,IEX,,
129904132,IFBAGRO,,
129465860,IFBIND,,
128027140,IFCI,,
138438148,IFGLEXPOR,,
132449284,IGARASHI,,
136323588,IGL,,
128050948,IGPL,,
136354820,IIFL,,
138949892,IIFLSEC,,
138949636,IIFLWAM,,
128331524,IITL,,
136424196,IL&FSENGG,,
136493316,IL&FSTRANS,,
137998340,IMAGICAA,,
136460036,IMFA,,
151056644,IMPAL,,
136349188,IMPEXFERRO,,
137821444,INCREDIBLE,,
130937092,INDBANK,,
128217604,INDHOTEL,,
135681284,INDIACEM,,
128051460,INDIAGLYCO,,
138937860,INDIAMART,,
136400388,INDIANB,,
130481156,INDIANCARD,,
129213700,INDIANHUME,,
138098692,INDIGO,,
139074052,INDIGOPNTS,,
132498180,INDLMETER,,
136253444,INDNIPPON,,
136348676,INDOCO,,
128052996,INDORAMA,,
136513796,INDOSOLAR,,
138582020,INDOSTAR,,
136375556,INDOTECH,,
136621060,INDOTHAI,,
136420868,INDOWIND,,
136230404,INDRAMEDCO,,
136270084,INDSWFTLAB,,
136532228,INDTERRAIN,,
136239876,INDUSINDBK,,
136912900,INDUSTOWER,,
129592836,INEOSSTYRO,,
138190596,INFIBEAM,,
130321668,INFOMEDIA,,
128053508,INFY,,
128053764,INGERRAND,,
136372740,INOXLEISUR,,
138005252,INOXWIND,,
136409860,INSECTICID*,,
136390148,INSPIRISYS,,
137941764,INTELLECT,,
136275460,INTENTECH,,
136577540,INVENTURE,,
136291332,IOB,,
135927044,IOC,,
134185988,IOLCP,,
134270468,IPCALAB,,
136434436,IRB,,
138740740,IRCON,,
138964484,IRCTC,,
139073796,IRFC,,
138541828,ISEC,,
136494340,ISFT,,
136456452,ISGEC,,
136314628,ISMTLTD,,
128224004,ITC,,
136240388,ITDC,,
130430980,ITDCEM,,
134044164,ITI,,
130869252,IVC,,
129940484,IVP,,
136279300,IZMO,,
136245508,J&KBANK,,
136372484,JAGRAN*,,
129993988,JAGSNPHARM,,
136441860,JAIBALAJI,,
131132676,JAICORPLTD,,
136200452,JAINSTUDIO,,
133133060,JAMNAAUTO,,
134228484,JAYAGROGN,,
133136900,JAYBARMARU,,
133704964,JAYNECOIND,,
130487044,JAYSHREETEA,,
129777412,JBCHEPHARM,,
131592708,JBFIND,,
136346884,JBMA,,
133989892,JCHAC,,
136349956,JETAIRWAYS,,
136389380,JHS,,
130974212,JIKIND,,
136351748,JINDALPHOT,,
128058116,JINDALPOLY,,
128096772,JINDALSAW,,
136265220,JINDALSTEL,,
130824708,JINDRILL,,
136075012,JINDWORLD,,
145921028,JISLDVREQS,,
128056068,JISLJALEQS,,
138319620,JITFINFRA,,
138041604,JIYAECO,,
136356868,JKCEMENT,,
136432644,JKIL,,
128097284,JKLAKSHMI,,
136233476,JKPAPER,,
135681796,JKTYRE,,
133699332,JMCPROJECT,,
133991684,JMFINANCIL,,
131504900,JMTAUTOLTD,,
136328196,JPASSOCIAT,,
136500996,JPINFRATEC,,
136352516,JPPOWER,,
136322052,JSL,,
138136836,JSLHISAR,,
136485892,JSWENERGY,,
136356356,JSWHL,,
131442180,JSWISPL,,
128058372,JSWSTEEL,,
133134596,JTEKTINDIA,,
136487684,JUBLFOOD,,
136529924,JUBLINDS,,
139077380,JUBLINGREA,,
135684868,JUBLPHARMA,,
136022276,JUMPNET,,
137125892,JUSTDIAL,,
136429060,JYOTHYLAB,,
131392004,JYOTISTRUC,,
134171908,KABRAEXTRU,,
128059652,KAJARIACER,,
128059908,KAKATCEM,,
133705476,KALPATPOWR,,
131458308,KALYANIFRG,,
139079172,KALYANKJIL,,
134827012,KAMATHOTEL,,
136381700,KAMDHENU,,
129583108,KANANIIND,,
129670404,KANORICHEM,,
129991428,KANPRPLA,,
128042244,KANSAINER,,
138537220,KARDA,,
136563460,KARMAENG,,
151040772,KARURVYSYA,,
136428804,KAUSHALYA,,
138054660,KAYA,,
151056900,KCP,,
136497156,KCPSUGIND,,
136205828,KDDL,,
136374788,KEC,,
136497412,KECL,,
132497668,KEI,,
133018116,KELLTONTEC,,
129507844,KENNAMET,,
136367620,KERNEX,,
128751876,KESORAMIND,,
131224836,KEYFINSER,,
138438404,KHADIM,,
129995268,KHAICHEM,,
136164356,KHANDSE,,
136525316,KICL,,
134272004,KILITCH,,
134148868,KINGFA,,
138414084,KIOCL,,
136439556,KIRIINDUS,,
128062724,KIRLFER,,
128061700,KIRLOSBROS,,
136523012,KIRLOSENG,,
128062212,KIRLOSIND,,
133439492,KITEX,,
136379396,KKCL,,
136364292,KMSUGAR,,
136433156,KNRCON,,
133940996,KOKUYOCMLN,,
136428548,KOLTEPATIL,,
134215684,KOPRAN,,
128063236,KOTAKBANK,,
135756548,KOTHARIPRO,,
138918660,KPITTECH,,
136419588,KPRMILL,,
135888132,KRBL,,
134276612,KREBSBIO,,
136571396,KRIINFRA,,
128063748,KSB,,
136422148,KSCL,,
128060164,KSL,,
136358916,KTKBANK,,
136431876,KUANTUM,,
136580868,L&TFH,,
129556228,LAKPRE,,
138118148,LALPATHLAB,,
151059204,LAMBODHARA,,
134898436,LAOPALA,,
138419716,LASA,,
138296836,LAURUSLABS,,
128064516,LAXMIMACH,,
136196868,LCCINFOTEC,,
136447492,LEHIL,,
138555652,LEMONTREE,,
128064004,LGBBROSLTD,,
136449796,LGBFORGE,,
134808580,LIBERTSHOE,,
128064772,LICHSGFIN,,
139069444,LIKHITHA,,
136098052,LINCOPH,,
135997700,LINCPENQ,,
134004996,LINDEINDIA,,
138237956,LLOYDSTEEL,,
139081476,LODHA,,
136381444,LOKESHMACH,,
136535812,LOVABLE,,
136451076,LPDC,,
128130564,LT,,
138241284,LTI,,
138269444,LTTS,,
132404740,LUMAXIND,,
136395780,LUMAXTECH,,
128065796,LUPIN,,
138122756,LUXIND,,
139078916,LXCHEM,,
128066308,LYKALABS,,
136840196,LYPSAGEMS,,
128133124,M&M,,
136376324,M&MFIN,,
136423940,MAANALU,,
131863812,MADHAV,,
136063236,MADHUCON,,
151074308,MADRASFERT,,
138406404,MAGADHSUGAR,,
134144004,MAGMA,,
136421380,MAGNUM,,
136326404,MAHABANK,,
133986308,MAHAPEXLTD,,
131469828,MAHASTEEL,,
134081028,MAHEPC,,
136385540,MAHINDCIE,,
136272132,MAHLIFE,,
138436612,MAHLOG,,
128068100,MAHSCOOTER,,
128067844,MAHSEAMLES,,
151059972,MAITHANALL,,
136378372,MALUPAPER,,
136430596,MANAKSIA,,
137995268,MANAKSTELTD,,
128068612,MANALIPETC,,
135990532,MANAPPURAM,,
136355076,MANGALAM,,
135682820,MANGCHEFER,,
128552196,MANGLMCEM,,
132097796,MANGTIMBER,,
131396868,MANINDS,,
136491268,MANINFRA,,
129362948,MANUGRAPH,,
133380612,MARALOVER,,
128793860,MARATHON,,
136100356,MARICO,,
134247428,MARKSANS,,
136320004,MARUTI,,
138431748,MASFIN,,
134068228,MASTEK,,
138420228,MATRIMONY,,
133982980,MAWANASUG,,
139064324,MAXHEALTH,,
139065092,MAXINDIA,,
138224644,MAXVIL,,
133695748,MAYURUNIQ,,
134090756,MAZDALTD,,
139068676,MAZDOCK,,
136353028,MBECL,,
136486916,MBLINFRA,,
136410116,MCDHOLDING,,
136359428,MCLEODRUSS,,
136727300,MCX,,
136296452,MEGASOFT,,
136270596,MELSTAR,,
134099972,MENONBE,,
138016260,MEP,,
134716164,MERCATOR,,
131413764,METALFORGE,,
138918404,METROPOLIS,,
128069380,MFSL,,
138228996,MGL,,
136470532,MHRIL,,
136409604,MIC,,
138545924,MIDHANI,,
137974276,MINDACORP,,
136329988,MINDAIND,,
132440068,MINDTECK,,
136401668,MINDTREE,,
128071428,MIRCELECTR,,
134820356,MIRZAINT,,
138057988,MJCO,,
133693700,MMFL,,
131424516,MMTC,,
137995524,MNKALCOLTD,,
137995780,MNKCMILTD,,
128227844,MODIRUBBER,,
129602820,MODISNME,,
136051972,MOHITIND,,
135692036,MOHOTAIND,,
136521220,MOIL,,
134723332,MOLDTEK,,
136468484,MOLDTKPAC,,
137942020,MONTECARLO,,
136350980,MORARJEE,,
128073732,MOREPENLAB,,
132437508,MOTHERSUMI,,
136420356,MOTILALOFS,,
128343812,MOTOGENFIN,,
134732548,MPHASIS,,
136304644,MPSLTD,,
128074244,MRF,,
136288260,MRO-TEK,,
128027908,MRPL,,
136358404,MSPL,,
138904836,MSTC,,
139077124,MTARTECH,,
136783876,MTEDUCARE,,
128027652,MTNL,,
128117764,MUKANDLTD,,
136283396,MUKTAARTS,,
133135108,MUNJALAU,,
133131012,MUNJALSHOW,,
131849476,MURUDCERA,,
136549892,MUTHOOTFIN,,
131012100,MUTHTFN,,
134325508,NACLIND,,
138218756,NAGARFERT,,
136421124,NAGREEKCAP,,
133403908,NAGREEKEXP,,
136435716,NAHARCAP,,
132898820,NAHARINDUS,,
133988100,NAHARPOLY,,
128075780,NAHARSPING,,
138436356,NAM-INDIA,,
134352900,NATCOPHARM,,
137546500,NATHBIOGEN,,
136251908,NATIONALUM,,
136390916,NAUKRI,,
136321028,NAVINFLUOR,,
138068996,NAVKARCORP,,
130301188,NAVNETEDUL,,
139079684,NAZARA,,
136783108,NBCC,,
131333892,NBVENTURES*,,
128075268,NCC,,
128555012,NCLIND,,
136356100,NDL,,
139062788,NDRAUTO,,
136327428,NDTV,,
136861444,NECCLTD,,
136358148,NECLIFE,,
136413188,NELCAST,,
129052676,NELCO,,
138922244,NEOGEN,,
129370884,NESCO,,
128202244,NESTLEIND,,
136396292,NETWORK18,,
134286852,NEULANDLAB,,
138470404,NEWGEN,,
136298500,NEXTMEDIA,,
134049284,NFL,,
138125060,NH,,
136473092,NHPC,,
138436868,NIACL,,
137077252,NIBL,,
128077828,NIITLTD,,
135776516,NILA,,
138811140,NILASPACES,,
133986564,NILKAMAL,,
129038852,NIPPOBATRY,,
136444420,NIRAJ,,
136376836,NITCO,,
136410628,NITINFIRE,,
136370692,NITINSPIN,,
132990468,NKIND,,
131502852,NLCINDIA,,
134750980,NMDC,,
128186884,NOCIL,,
136315140,NOIDATOLL,,
128172036,NOVARTIND,,
132116996,NRAGRINDQ,,
135773956,NRBBEARING,,
136257540,NSIL,,
136419076,NTL,,
136334084,NTPC,,
135989508,NUCLEUS,,
139075588,NURECA,,
128048388,NXTDIGITAL,,
128019972,OAL,,
136517892,OBEROIRLTY,,
136311300,OFSS,,
136475140,OIL,,
136304388,OLECTRA,,
133125380,OMAXAUTO,,
136417284,OMAXE,,
135959556,OMINFRAL,,
136609796,ONELIFECAP,,
128079876,ONGC,,
136433668,ONMOBILE,,
132489220,ONWARDTEC,,
135714564,OPTIEMUS,,
136292100,OPTOCIRCUI,,
131232260,ORBTEXP,,
134239236,ORCHIDPHAR,,
131358980,ORICON,,
129249028,ORIENTABRA,,
136401156,ORIENTALTL,,
135773444,ORIENTBELL,,
137153028,ORIENTCEM,,
129684228,ORIENTCQ,,
138573060,ORIENTELEC,,
128080388,ORIENTHOT,,
134739204,ORIENTLTD,,
128619524,ORIENTPPR,,
136723460,ORIENTREF,,
151062020,ORISSAMINE,,
137987844,ORTEL,,
138057476,ORTINLAABS,,
128081156,OSWALAGRO,,
132410884,PAEL,,
136403716,PAGEIND,,
136422404,PAISALO,,
138405892,PALASHSEC,,
136325380,PALRED,,
136025348,PANACEABIO,,
134353924,PANAMAPET,,
