bse_symbol,nse_symbol,bse_token,nse_token
DRREDDY,DRREDDY,128031748,225537
EIDPARRY,EIDPARRY,128032004,234497
PGHL,PGHL,128032260,240641
ELECTCAST,ELECTCAST,128032772,237569
ESABINDIA,ESABINDIA,128034052,244481
EPL,EPL,128034564,251137
ESTER,ESTER,128034820,6211841
FINCABLES,FINCABLES,128036868,265729
UFLEX,UFLEX,128037892,269569
FOSECOIND,FOSECOIND,128038404,274689
GOLDENTOBC,GOLDENTOBC,128038660,321281
GTL,GTL,128040964,297473
GODFRYPHLP,GODFRYPHLP,128041732,302337
GODREJIND,GODREJIND,128041988,2796801
KANSAINER,KANSAINER,128042244,306177
GOODYEAR,GOODYEAR,128043012,308481
GHCL,GHCL,128043780,288513
GFLLIMITED,GFLLIMITED,128044292,329985
GLFL,GLFL,128044548,295937
HCL-INSYS,HCL-INSYS,128045828,339713
HDFCBANK,HDFCBANK,128046084,341249
HEROMOTOCO,HEROMOTOCO,128046596,345089
HFCL,HFCL,128046852,5619457
HSCL,HSCL,128047108,3669505
HCC,HCC,128047364,352001
HINDOILEXP,HINDOILEXP,128047620,359169
HSIL,HSIL,128047876,361473
HINDZINC,HINDZINC,128048132,364545
NXTDIGITAL,NXTDIGITAL,128048388,3724033
HMT,HMT,128048900,
HLVLTD,HLVLTD,128049412,370689
IGPL,IGPL,128050948,3606017
INDIAGLYCO,INDIAGLYCO,128051460,389377
INDORAMA,INDORAMA,128052996,2814209
INFY,INFY,128053508,408065
INGERRAND,INGERRAND,128053764,408833
ATFL,ATFL,128055044,425729
JISLJALEQS,JISLJALEQS,128056068,2661633
JINDALPOLY,JINDALPOLY,128058116,449537
JSWSTEEL,JSWSTEEL,128058372,3001089
UMANGDAIR,UMANGDAIRY,128059140,2915073
KAJARIACER,KAJARIACER,128059652,462849
KAKATCEM,KAKATCEM,128059908,463617
KSL,KSL,128060164,4835585
WHIRLPOOL,WHIRLPOOL,128060932,4610817
KIRLOSBROS,KIRLOSBROS,128061700,4756737
KIRLOSIND,KIRLOSIND,128062212,4870401
KIRLFER,KIRLFER,128062724,3703297
KOTAKBANK,KOTAKBANK,128063236,492033
KSB,KSB,128063748,498945
LGBBROSLTD,LGBBROSLTD,128064004,4690177
TRENT,TRENT,128064260,502785
LAXMIMACH,LAXMIMACH,128064516,506625
LICHSGFIN,LICHSGFIN,128064772,511233
LUPIN,LUPIN,128065796,2672641
LYKALABS,LYKALABS,128066308,
RAMCOCEM,RAMCOCEM,128066564,523009
MAHSEAMLES,MAHSEAMLES,128067844,534529
MAHSCOOTER,MAHSCOOTER,128068100,533761
MANALIPETC,MANALIPETC,128068612,3531777
MFSL,MFSL,128069380,548353
MIRCELECTR,MIRCELECTR,128071428,563713
CENTENKA,CENTENKA,128071684,158465
SPICEJET,SPICEJET,128072964,2930177
MOREPENLAB,MOREPENLAB,128073732,578305
MRF,MRF,128074244,582913
HEIDELBERG,HEIDELBERG,128074756,592897
NCC,NCC,128075268,593665
VEDL,VEDL,128075524,784129
NAHARSPING,NAHARSPING,128075780,3696641
GRASIM,GRASIM,128076804,315393
PEL,PEL,128077316,617473
NIITLTD,NIITLTD,128077828,2949633
ONGC,ONGC,128079876,633601
ORIENTHOT,ORIENTHOT,128080388,638209
OSWALAGRO,OSWALAGRO,128081156,643585
RELIANCE,RELIANCE,128083204,738561
PILITA,PILITA,128083716,7893761
RAYMOND,RAYMOND,128084484,731905
PIDILITIND,PIDILITIND,128084740,681985
BIRLACORPN,BIRLACORPN,128085764,122881
SURYAROSNI,SURYAROSNI,128086020,864001
PRIMESECU,PRIMESECU,128086276,3037185
PRSMJOHNSN,PRSMJOHNSN,128086532,701185
RAIN,RAIN,128086788,3926273
AMJLAND,AMJLAND,128087812,665089
RSWM,RSWM,128089604,715265
RAJSREESUG,RAJSREESUG,128090628,719105
RALLIS,RALLIS,128090884,720897
RAMANEWS,RAMANEWS,128091140,3472641
ROLTA,ROLTA,128093700,747009
RUCHISOYA,RUCHI,128094212,4359425
JINDALSAW,JINDALSAW,128096772,774145
JKLAKSHMI,JKLAKSHMI,128097284,3453697
SHREECEM,SHREECEM,128099076,794369
RELINFRA,RELINFRA,128099844,141569
TATAPOWER,TATAPOWER,128102404,877057
SPMLINFRA,SPMLINFRA,128102916,
SUNDRMFAST,SUNDRMFAST,128103172,856321
SUNFLAG,SUNFLAG,128103428,857089
SUPPETRO,SUPPETRO,128103684,860161
SWARAJENG,SWARAJENG,128104196,866305
TATAELXSI,TATAELXSI,128104452,873217
ACC,ACC,128104964,5633
THERMAX,THERMAX,128105220,889601
TIRUMALCHM,TIRUMALCHM,128105476,894977
THOMASCOOK,THOMASCOOK,128105732,891137
TOKYOPLAST,TOKYOPLAST,128107012,982273
TORNTPHARM,TORNTPHARM,128107524,900609
AMBUJACEM,AMBUJACEM,128108804,325121
UNIPHOS,UNIENTER,128109828,2891009
VHL,VHL,128112388,3044353
HINDALCO,HINDALCO,128112644,348929
WSTCSTPAPR,WSTCSTPAPR,128113668,972545
PGHH,PGHH,128117508,648961
MUKANDLTD,MUKANDLTD,128117764,
AGCNET,AGCNET,128118532,879361
UCALFUEL,UCALFUEL,128118788,913921
HARRMALAYA,HARRMALAYA,128119556,336129
FEDERALBNK,FEDERALBNK,128120068,261889
TATASTEEL,TATASTEEL,128120324,895745
SKFINDIA,SKFINDIA,128120836,815617
ASHOKLEY,ASHOKLEY,128122116,54273
CUMMINSIND,CUMMINSIND,128122884,486657
TATACOMM,TATACOMM,128123652,952577
ABBOTINDIA,ABBOTINDIA,128124932,4583169
BAJAJHLDNG,BAJAJHLDNG,128125444,78081
BHARATFORG,BHARATFORG,128126212,108033
ESCORTS,ESCORTS,128126724,245249
HINDMOTORS,HINDMOTORS,128128004,5549057
LT,LT,128130564,2939649
M&M,M&M,128133124,519937
BOSCHLTD,BOSCHLTD,128135684,558337
PREMIER,PREMIER,128138244,
BPCL,BPCL,128140036,134657
SIEMENS,SIEMENS,128140804,806401
TATAMOTORS,TATAMOTORS,128145924,884737
VOLTAS,VOLTAS,128147204,951809
GESHIP,GESHIP,128158724,3526657
DEEPAKFERT,DEEPAKFERT,128165124,211713
EXCELINDUS,EXCELINDUS,128166404,2936577
GLAXO,GLAXO,128168964,295169
GNFC,GNFC,128171524,300545
NOVARTIND,NOVARTIND,128172036,2305793
SANOFI,SANOFI,128172548,369153
PFIZER,PFIZER,128174084,676609
GSFC,GSFC,128176644,319233
HINDUNILVR,HINDUNILVR,128178180,356865
AKZOINDIA,AKZOINDIA,128181764,375553
NOCIL,NOCIL,128186884,625153
TATACHEM,TATACHEM,128197124,871681
TNPETRO,TNPETRO,128198916,898305
ZUARIGLOB,ZUARIGLOB,128199684,979713
NESTLEIND,NESTLEIND,128202244,4598529
TATACONSUM,TATACONSUM,128204804,878593
ASIANPAINT,ASIANPAINT,128209924,60417
BRITANNIA,BRITANNIA,128211204,140033
COLPAL,COLPAL,128212484,3876097
EIHOTEL,EIHOTEL,128215044,235265
INDHOTEL,INDHOTEL,128217604,387073
CASTROLIND,CASTROLIND,128222724,320001
ITC,ITC,128224004,424961
APOLLOTYRE,APOLLOTYRE,128224516,41729
CEATLTD,CEATLTD,128224772,3905025
MODIRUBBER,MODIRUBBER,128227844,
FINOLEXIND,FINPIPE,128240644,266497
CENTRUM,CENTRUM,128294404,628225
TCIFINANCE,TCIFINANCE,128317956,1221377
IITL,IITL,128331524,4998401
TATAINVEST,TATAINVEST,128333060,414977
MOTOGENFIN,MOTOGENFIN,128343812,580609
BBTC,BBTC,128364804,97281
GREAVESCOT,GREAVESCOT,128372484,316161
SAGCEM,SAGCEM,128535044,3601409
DECCANCE,DECCANCE,128547076,3798529
MANGLMCEM,MANGLMCEM,128552196,539137
NCLIND,NCLIND,128555012,3709441
SHREDIGCEM,SHREDIGCEM,128558084,793345
BORORENEW,BORORENEW,128568068,806145
ANDHRAPAP,ANDHRAPAP,128596484,42497
BALKRISIND,BALKRISIND,128602884,85761
ORIENTPPR,ORIENTPPR,128619524,638977
ROLLT,ROLLT,128626692,4890625
SESHAPAPER,SESHAPAPER,128627204,784897
SINTEX,SINTEX,128701956,1492737
DCM,DCM,128721924,206081
KESORAMIND,KESORAMIND,128751876,475905
VTL,VTL,128764420,530689
PENINLAND,PENINLAND,128775940,
PHOENIXLTD,PHOENIXLTD,128793604,3725313
MARATHON,MARATHON,128793860,4776705
RUBYMILLS,RUBYMILLS,128811268,752385
SWANENERGY,SWANENERGY,128847364,6936321
BANSWRAS,BANSWRAS,128952836,3714817
SRF,SRF,128974340,837889
SIYSIL,SIYSIL,128975620,3608577
BBL,BBL,129013764,3522817
EMCO,EMCO,129026052,
HIRECT,HIRECT,129033220,3555841
NIPPOBATRY,NIPPOBATRY,129038852,1736193
ZENSARTECH,ZENSARTECH,129041156,275457
NELCO,NELCO,129052676,611329
UNIVCABLES,UNIVCABLES,129078276,923393
WSIND,WSI,129080324,
DELTAMAGNT,DELTAMAGNT,129097220,310785
SARDAEN,SARDAEN,129181188,4546049
INDIANHUME,INDIANHUME,129213700,391681
ORIENTABRA,ORIENTABRA,129249028,3356417
TINPLATE,TINPLATE,129271300,894209
CHOLAHLDNG,CHOLAHLDNG,129273092,5565441
AUTOAXLES,AUTOAXLES,129282564,71169
SETCO,SETCO,129299204,4483585
TALBROAUTO,TALBROAUTO,129320964,3493889
SMLISUZU,SMLISUZU,129329156,867073
TIL,TIL,129330180,
EICHERMOT,EICHERMOT,129331204,232961
DYNAMATECH,DYNAMATECH,129341956,1158401
GMM,GMMPFAUDLR,129345284,401921
MANUGRAPH,MANUGRAPH,129362948,3474433
NESCO,NESCO,129370884,3944705
REVATHI,REVATHI,129374212,3062017
TEXINFRA,TEXINFRA,129382404,2956545
WENDT,WENDT,129385476,1084161
RESPONIND,RESPONIND,129410308,5202689
DOLAT,DOLAT,129414660,3103745
WESTLIFE,WESTLIFE,129416452,2964481
ZEEL,ZEEL,129417476,975873
BHARATGEAR,BHARATGEAR,129456132,109057
ELECON,ELECON,129459204,3492609
GABRIEL,GABRIEL,129462788,277761
HERCULES,HERCULES,129464324,3913729
IFBIND,IFBIND,129465860,380161
FMGOETZE,FMGOETZE,129470468,304641
SCHAEFFLER,SCHAEFFLER,129482244,258817
RANEHOLDIN,RANEHOLDIN,129484804,728065
TRF,TRF,129498628,4604673
KENNAMET,KENNAMET,129507844,3031297
PRAKASH,PRAKASH,129541636,693249
ARSHIYA,ARSHIYA,129554948,4562177
GRINDWELL,GRINDWELL,129555460,3471361
LAKPRE,LAKPRE,129556228,
GENESYS,GENESYS,129563908,2791681
VIVIDHA,VIVIDHA,129573380,
KANANIIND,KANANIIND,129583108,6601217
ASL,ARIHANTSUP,129585668,
BLISSGVS,BLISSGVS,129586436,4931841
INEOSSTYRO,INEOSSTYRO,129592836,4865
ALEMBICLTD,ALEMBICLTD,129596164,20225
MODISNME,MODISNME,129602820,848897
BAYERCROP,BAYERCROP,129608964,4589313
CLNINDIA,CLNINDIA,129635844,183041
COROMANDEL,COROMANDEL,129637124,189185
DEEPAKNI,DEEPAKNTR,129638660,5105409
GOCLCORP,GOCLCORP,129658884,1014529
KANORICHEM,KANORICHEM,129670404,469761
ORIENTCQ,OCCL,129684228,3131137
PHILIPCARB,PHILIPCARB,129687044,678145
PUNJABCHEM,PUNJABCHEM,129694212,1112065
SUDARSCHEM,SUDARSCHEM,129703684,851713
UNICHEMLAB,UNICHEMLAB,129712644,916225
ALKYLAMINE,ALKYLAMINE,129732356,1148673
ASTRAZEN,ASTRAZEN,129745924,1436161
JBCHEPHARM,JBCHEPHARM,129777412,441857
TI,TI,129844484,4914177
SAKHTISUG,SAKHTISUG,129872644,
WALCHANNAG,WALCHANNAG,129896964,956417
IFBAGRO,IFBAGRO,129904132,379393
DHARSUGAR,DHARSUGAR,129905156,221697
GMBREW,GMBREW,129916932,299009
RANASUG,RANASUG,129917444,726273
SDBL,SDBL,129923588,
ASALCBR,ASALCBR,129926660,4505089
IVP,IVP,129940484,430337
WIPRO,WIPRO,129967364,969473
DHANUKA,DHANUKA,129975556,6248705
TTKHEALTH,TTKHLTCARE,129983236,2910465
KANPRPLA,KANPRPLA,129991428,456193
TAINWALCHM,TAINWALCHM,129992964,869377
JAGSNPHARM,JAGSNPHARM,129993988,1128961
KHAICHEM,KHAICHEM,129995268,229377
GILLETTE,GILLETTE,130000644,403457
ANSALHSG,ANSALHSG,130003972,3500289
UNITECH,UNITECH,130016772,
VIPIND,VIPIND,130017284,947969
COSMOFILMS,COSMOFILMS,130256388,189953
APOLLOHOSP,APOLLOHOSP,130270468,40193
EVERESTIND,EVERESTIND,130279940,254209
AYMSYNTEX,AYMSYNTEX,130286852,2632961
NAVNETEDUL,NAVNETEDUL,130301188,610561
AUSOMENT,AUSOMENT,130306308,1033473
RUCHINFRA,RUCHINFRA,130309124,
VISAKAIND,VISAKAIND,130318084,1080577
INFOMEDIA,INFOMEDIA,130321668,
PRESSMN,PRESSMN,130323716,2987777
GUFICBIO,GUFICBIO,130324228,2971137
GRPLTD,GRPLTD,130342916,1675009
PTL,PTL,130360324,3609857
TVSSRICHAK,TVSSRICHAK,130366212,3646721
BERGEPAINT,BERGEPAINT,130426884,103425
GRAPHITE,GRAPHITE,130428932,151553
ITDCEM,ITDCEM,130430980,1439233
GARFIBRES,GARFIBRES,130446596,281601
GOACARBON,GOACARBON,130449156,3759873
HEG,HEG,130465540,342017
HINDCOMPOS,HINDCOMPOS,130466564,351233
HIL,HIL,130476804,372481
INDIANCARD,INDIANCARD,130481156,1132033
JAYSHREETEA,JAYSREETEA,130487044,440321
HUHTAMAKI,HUHTAMAKI,130513924,655873
SHALPAINTS,SHALPAINTS,130527748,3927553
SUPREMEIND,SUPREMEIND,130542084,860929
VSTIND,VSTIND,130551300,953345
JINDRILL,JINDRILL,130824708,3552001
DHFL,DHFL,130834436,215553
SHIVTEX,SHIVATEX,130843652,205825
CANFINHOME,CANFINHOME,130866180,149249
IVC,IVC,130869252,
SRTRANSFIN,SRTRANSFIN,130871812,1102337
CHOLAFIN,CHOLAFIN,130878212,175361
VLSFINANCE,VLSFINANCE,130901252,951041
VIDEOIND,VIDEOIND,130915588,
CREST,CREST,130921732,3558401
VAKRANGEE,VAKRANGEE,130926340,3415553
INDBANK,INDBANK,130937092,4334849
CAPITALT,CAPTRUST,130945284,4978433
TIMESGTY,TIMESGTY,130959108,2743553
DCMFINSERV,DCMFINSERV,130972420,1222401
JIKIND,JIKIND,130974212,
SAMBHAAV,SAMBHAAV,130977284,
GICHSGFIN,GICHSGFIN,130989060,291585
VIPUL,VIPULLTD,131001860,2156545
MUTHTFN,MUTHOOTCAP,131012100,2666241
UPL,UPL,131089924,2889473
SIGNETIND,SIGIND,131105540,1157633
SECURKLOUD,SECURKLOUD,131113220,2830849
SUNTECK,SUNTECK,131117828,4516097
JAICORPLTD,JAICORPLTD,131132676,1316609
BHAGYNAGAR,BHAGYANGR,131147780,5318657
DONEAR,DONEAR,131204868,3542785
SEQUENT,SEQUENT,131207428,3659777
STCINDIA,STCINDIA,131207940,2802689
ZENITHEXPO,ZENITHEXPO,131213572,
AVANTI,AVANTIFEED,131218692,2031617
ZODJRDMKJ,ZODJRDMKJ,131222276,
KEYFINSER,KEYFINSERV,131224836,1064193
ADANIENT,ADANIENT,131225348,6401
BHANDHOS,BHANDARI,131227652,5006337
ORBTEXP,ORBTEXP,131232260,8057601
TATASTLLP,TATASTLLP,131330564,419585
NBVENTURES*,NBVENTURES,131333892,1027585
GANDHITUBE,GANDHITUBE,131355652,3613697
ORICON,ORICONENT,131358980,2600705
UTTAMSTL,UTTAMSTL,131383300,930305
PENIND,PENIND,131386372,5278977
JYOTISTRUC,JYOTISTRUC,131392004,
SSWL,SSWL,131395076,3028225
MANINDS,MANINDS,131396868,3042305
METALFORGE,METALFORGE,131413764,
GRANDFONRY,GFSTEELS,131415812,
AJMERA,AJMERA,131417348,4430593
CARBORUNIV,CARBORUNIV,131424004,152321
MMTC,MMTC,131424516,4596993
SMPL,SMPL,131433988,
TATAMETALI,TATAMETALI,131439108,876289
JSWISPL,JSWISPL,131442180,1195777
KALYANIFRG,KALYANIFRG,131458308,
PITTIENG,PITTIENG,131460868,3618305
MAHASTEEL,MAHASTEEL,131469828,4486913
HINDCOPPER,HINDCOPPER,131481348,4592385
SRIPIPES,SRIPIPES,131482884,3821313
NLCINDIA,NLCINDIA,131502852,2197761
JMTAUTOLTD,JMTAUTOLTD,131504900,3704321
AROGRANITE,AROGRANITE,131514628,3726593
JBFIND,JBFIND,131592708,
HIMATSEIDE,HIMATSEIDE,131595012,348161
BSL,BSL,131595524,143105
TTL,TTL,131620356,
WELSPUNIND,WELSPUNIND,131625476,2880769
GANECOS,GANECOS,131626756,1777665
VARDMNPOLY,VARDMNPOLY,131628804,933377
SUMEETINDS,SUMEETINDS,131638020,
SANGAMIND,SANGAMIND,131643908,1071105
AARVEEDEN,AARVEEDEN,131654148,
ASHIMASYN,ASHIMASYN,131657220,
PIONEEREMB,PIONEEREMB,131660804,3446529
PATSPINLTD,PATSPINLTD,131667460,
PREMIERPOL,PREMIERPOL,131674628,1000449
ASAHIINDIA,ASAHIINDIA,131847684,1376769
MURUDCERA,MURUDCERA,131849476,592129
ANANTRAJ,ANANTRAJ,131854084,3486721
MADHAV,MADHAV,131863812,3878657
HINDNATGLS,HINDNATGLS,131877124,4363777
MANGTIMBER,MANGTIMBER,132097796,539905
SHREYANIND,SHREYANIND,132100100,800257
STARPAPER,STARPAPER,132101636,842497
ARROWGREEN,ARROWGREEN,132112388,
VISHNU,VISHNU,132114436,1768449
NRAGRINDQ,NRAIL,132116996,5200385
3PLAND,3PLAND,132119556,664321
VINDHYATEL,VINDHYATEL,132355844,945665
ADORWELD,ADORWELD,132362500,8705
SALZER,SALZERELEC,132367108,2918145
USHAMART,USHAMART,132389380,2263041
SUBROS,SUBROS,132395012,850945
HONAUT,HONAUT,132396548,874753
LUMAXIND,LUMAXIND,132404740,516609
DIGISPICE,DIGISPICE,132406788,4270849
PAEL,PAEL,132410884,
HBLPOWER,HBLPOWER,132421380,3575297
S&SPOWER,S&SPOWER,132421892,755457
GIPCL,GIPCL,132428804,293121
CMI,CMICABLES,132436484,4898049
MOTHERSUMI,MOTHERSUMI,132437508,1076225
MINDTECK,MINDTECK,132440068,4620545
HAVELLS,HAVELLS,132442628,2513665
IGARASHI,IGARASHI,132449284,162305
SYMPHONY,SYMPHONY,132450564,6192641
SHYAMTEL,SHYAMTEL,132457220,
BUTTERFLY,BUTTERFLY,132459780,695297
RSSOFTWARE,RSSOFTWARE,132466436,1645825
WEBELSOLAR,WEBELSOLAR,132479492,3738113
TTKPRESTIG,TTKPRESTIG,132481540,907777
RAJGLOWIR,RAJRATAN,132485636,4854273
SURANAT&P,SURANAT&P,132487684,2739201
ONWARDTEC,ONWARDTEC,132489220,
CENTUM,CENTUM,132491268,3835393
TRIGYN,TRIGYN,132495876,1389569
KEI,KEI,132497668,3407361
INDLMETER,INDLMETER,132498180,1008129
GSCLCEMENT,GSCLCEMENT,132615428,7641601
APCL,APCL,132631300,5235969
TASTYBIT,TASTYBITE,132887300,5143553
AVTNPL,AVTNPL,132890884,3586049
HNDFDS,HNDFDS,132896260,3116289
NAHARINDUS,NAHARINDUS,132898820,3355137
VADILALIND,VADILALIND,132903940,6194177
ADFFOODS,ADFFOODS,132910852,5058817
WILLAMAGOR,WILLAMAGOR,132921348,965633
SANWARIA,SANWARIA,132930564,
VIKASWSP,VIKASWSP,132942596,944129
ANIKINDS,ANIKINDS,132962052,4264193
NKIND,NKIND,132990468,
HERITGFOOD,HERITGFOOD,133005316,1177089
DFM,DFMFOODS,133014532,4933377
CCL,CCL,133017604,2931713
KELLTONTEC,KELLTONTEC,133018116,3438081
RICOAUTO,RICOAUTO,133122052,744705
OMAXAUTO,OMAXAUTO,133125380,2796033
MUNJALSHOW,MUNJALSHOW,133131012,590593
JAMNAAUTO,JAMNAAUTO,133133060,5319169
SUNCLAYLTD,SUNCLAYLTD,133134340,7426049
JTEKTINDIA,JTEKTINDIA,133134596,828673
MUNJALAU,MUNJALAU,133135108,3458817
JAYBARMARU,JAYBARMARU,133136900,437249
SICAL,SICAL,133142020,1630209
RATNAMANI,RATNAMANI,133148420,3443457
VESUVIUS,VESUVIUS,133148932,941057
ASAL,ASAL,133150468,2722305
SHREYAS,SHREYAS,133158660,801025
EUROTEXIND,EUROTEXIND,133379588,255745
ICIL,ICIL,133380100,3068673
MARALOVER,MARALOVER,133380612,540673
SOMATEX,SOMATEX,133384708,1075457
TRIDENT,TRIDENT,133392388,2479361
ALOKTEXT,ALOKINDS,133393924,4524801
SPENTEX,SPENTEX,133396996,
NAGREEKEXP,NAGREEKEXP,133403908,3763713
ZODIACLOTH,ZODIACLOTH,133417732,978177
SUPERSPIN,SUPERSPIN,133422084,
SILINV,SILINV,133425668,1050881
SURYALAXMI,SURYALAXMI,133427204,
DAMOINDUS,DAMODARIND,133432324,4490497
KITEX,KITEX,133439492,7398145
UNIDT,UNIDT,133635588,51457
WINDMACHIN,WINDMACHIN,133639428,6392065
SHANTIGEAR,SHANTIGEAR,133640708,787969
HONDAPOWER,HONDAPOWER,133648388,803329
HITECHGEAR,HITECHGEAR,133650692,1134849
ELGIEQUIP,ELGIEQUIP,133650948,239873
TIMKEN,TIMKEN,133660932,3634689
PRAJIND,PRAJIND,133684484,692481
HLEGLAS,HLEGLAS,133687044,585985
GUJAPOLLO,GUJAPOLLO,133687556,3757313
MMFL,MMFL,133693700,3544065
MAYURUNIQ,MAYURUNIQ,133695748,7399937
JMCPROJECT,JMCPROJECT,133699332,1134081
GET&D,GET&D,133702404,4296449
JAYNECOIND,JAYNECOIND,133704964,596737
KALPATPOWR,KALPATPOWR,133705476,464385
CONTROLPR,CONTROLPR,133707524,4474113
WEIZMANIND,WEIZMANIND,133890820,959489
SAFARIND,SAFARI,133894404,3336961
EIHAHOTELS,EIHAHOTELS,133920516,3942145
ABAN,ABAN,133940228,2561
KOKUYOCMLN,KOKUYOCMLN,133940996,4307713
PEARLPOLY,PEARLPOLY,133954564,668161
VENKYS,VENKEYS,133954820,961793
ADVANIHOTR,ADVANIHOTR,133956868,3774721
SUPERHOUSE,SUPERHOUSE,133960452,5277697
TCPLPACK,TCPLPACK,133965060,47105
BALMLAWRIE,BALMLAWRIE,133969668,86529
DCMSHRIRAM,DCMSHRIRAM,133981956,207617
MAWANASUG,MAWANASUG,133982980,4357633
MAHAPEXLTD,MAHAPEXLTD,133986308,
NILKAMAL,NILKAMAL,133986564,619777
NAHARPOLY,NAHARPOLY,133988100,3697921
3MINDIA,3MINDIA,133989124,121345
JCHAC,JCHAC,133989892,1149697
JMFINANCIL,JMFINANCIL,133991684,3491073
TNTELE,TNTELE,133995268,
RIIL,RIIL,134001924,745473
LINDEINDIA,LINDEINDIA,134004996,416513
PRECWIRE,PRECWIRE,134025988,695553
FEL,FEL,134034948,2692097
SCI,SCI,134041092,780289
ITI,ITI,134044164,428801
DREDGECORP,DREDGECORP,134046212,2885377
PODDAR,PODDARHOUS,134048772,5234177
NFL,NFL,134049284,3564801
PIIND,PIIND,134052356,6191105
PLASTIBLEN,PLASTIBLEN,134053892,3563521
WATERBASE,WATERBASE,134056964,958721
APCOTEXIND,APCOTEXIND,134065668,39425
MASTEK,MASTEK,134068228,543745
EIMCOELECO,EIMCOELECO,134069252,1034241
ASHIANA,ASHIANA,134071300,6247169
DVL,DVL,134076420,3894785
MAHEPC,MAHEPC,134081028,4506369
SREINFRA,SREINFRA,134081540,836353
MAZDALTD,MAZDA,134090756,4829697
VICEROY,VICEROY,134091780,
MENONBE,MENONBE,134099972,1782017
GUJRAFIA,GUJRAFFIA,134102020,
SIMPLEXINF,SIMPLEXINF,134102532,809473
MAGMA,MAGMA,134144004,2919169
KINGFA,KINGFA,134148868,4849665
POLYPLEX,POLYPLEX,134157060,687873
ALBERTDA,ALBERTDAVD,134163204,4417537
ACRYSIL,ACRYSIL,134167300,481025
KABRAEXTRU,KABRAEXTRU,134171908,462081
VINYLINDIA,VINYLINDIA,134177028,4306177
IOLCP,IOLCP,134185988,5225729
VINATIORGA,VINATIORGA,134195204,4445185
AARTIIND,AARTIIND,134197252,1793
WANBURY,WANBURY,134198276,
GAEL,GAEL,134201860,2259969
RCF,RCF,134202884,733697
KOPRAN,KOPRAN,134215684,491265
SEYAIND,SEYAIND,134226948,2771969
JAYAGROGN,JAYAGROGN,134228484,1034497
BCLIL,BCLIND,134228996,643329
AARTIDRUGS,AARTIDRUGS,134233092,1147137
BODALCHEM,BODALCHEM,134238724,6404353
ORCHIDPHAR,ORCHPHARMA,134239236,237057
VIMTALABS,VIMTALABS,134244868,3353857
BIOFILCHEM,BIOFILCHEM,134245380,1058817
MARKSANS,MARKSANS,134247428,2708225
IPCALAB,IPCALAB,134270468,418049
KILITCH,KILITCH,134272004,
KREBSBIO,KREBSBIO,134276612,495873
NEULANDLAB,NEULANDLAB,134286852,615937
PODARPIGQ,PODDARMENT,134289924,4873217
AKSCHEM,AKSHARCHEM,134297092,5165569
SOTL,SOTL,134314756,773377
HESTERBIO,HESTERBIO,134315268,1804289
NACLIND,NACLIND,134325508,5228801
SUNPHARMA,SUNPHARMA,134327044,857857
HIKAL,HIKAL,134332164,2475009
CAPPL,CAPLIPOINT,134333956,999937
AUROPHARMA,AUROPHARMA,134349828,70401
NATCOPHARM,NATCOPHARM,134352900,1003009
PANAMAPET,PANAMAPET,134353924,6500353
BALPHARMA,BALPHARMA,134354948,
CUBEXTUB,CUBEXTUB,134662916,
